ID,Meta,R,G,B
1,0,126,126,126
1,1,152,114,99
1,2,159,115,97
1,3,179,179,183
1,4,185,185,187
1,5,131,131,131
1,6,132,132,135
3,0,134,96,67
3,1,119,85,59
3,2,89,63,29
4,0,123,123,123
5,0,157,127,79
5,1,104,77,46
5,2,195,179,123
5,3,154,111,77
5,4,170,92,50
5,5,61,40,18
7,0,84,84,84
14,0,146,142,124
15,0,136,131,127
16,0,114,114,114
17,0,159,128,79
17,1,107,83,49
17,2,185,166,118
17,3,159,123,76
17,4,101,81,49
17,5,45,28,12
17,6,209,208,203
17,7,87,68,26
19,0,194,195,84
19,1,158,157,61
21,0,100,111,136
22,0,38,67,138
24,0,218,210,159
25,0,103,68,50
35,0,234,235,237
35,1,240,118,19
35,2,189,69,179
35,3,57,174,217
35,4,247,197,38
35,5,110,184,25
35,6,237,140,171
35,7,62,67,71
35,8,141,141,133
35,9,20,137,144
35,10,121,41,172
35,11,52,56,156
35,12,114,71,39
35,13,85,108,28
35,14,160,38,33
35,15,21,20,25
41,0,250,240,80
42,0,222,222,222
45,0,146,99,87
48,0,103,120,103
49,0,20,18,30
56,0,130,142,146
57,0,106,221,217
58,0,111,73,44
73,0,134,104,104
80,0,240,252,252
82,0,159,165,177
84,0,110,75,56
86,0,191,118,21
87,0,111,53,52
88,0,84,64,50
98,0,122,122,122
98,1,115,119,106
98,2,119,119,119
98,3,119,119,119
99,1,142,107,83
100,1,183,38,37
112,0,44,22,26
121,0,221,224,166
129,0,108,130,115
133,0,81,218,118
152,0,165,26,9
153,0,127,87,83
155,0,237,233,226
155,1,232,229,220
155,2,233,230,222
159,0,210,178,162
159,1,162,84,37
159,2,150,88,108
159,3,114,108,138
159,4,186,134,34
159,5,103,118,52
159,6,162,77,79
159,7,57,42,36
159,8,135,107,97
159,9,87,91,91
159,10,119,69,85
159,11,73,60,91
159,12,77,50,36
159,13,76,83,42
159,14,143,61,46
159,15,37,22,16
162,0,158,91,63
162,1,80,64,42
162,4,106,99,89
162,5,52,40,22
165,0,121,198,101
168,0,100,161,143
168,2,60,88,75
170,0,169,140,16
172,0,151,92,67
173,0,18,18,18
174,0,165,194,245
179,0,167,84,29
251,0,206,211,214
251,1,224,96,0
251,2,168,48,158
251,3,34,136,198
251,4,239,174,20
251,5,93,168,24
251,6,213,100,143
251,7,54,57,62
251,8,124,124,114
251,9,21,118,135
251,10,100,32,155
251,11,43,46,143
251,12,96,59,32
251,13,72,91,36
251,14,142,32,31
251,15,8,9,14
252,0,225,227,226
252,1,227,131,31
252,2,191,83,184
252,3,73,180,214
252,4,233,198,54
252,5,124,188,40
252,6,228,152,180
252,7,76,79,84
252,8,154,154,146
252,9,36,147,156
252,10,131,55,177
252,11,69,72,167
252,12,125,84,54
252,13,96,118,45
252,14,167,54,50
252,15,25,26,31
